dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky
-8,#181818ff,#00000000,#69665c1e,#4e4e4eff,#00000000,#00000000,#00000000,#00000000,#00000000
-7,#191919ff,#00000000,#6c685d24,#5b5b5bff,#00000000,#00000000,#00000000,#00000000,#00000000
-6,#1a1a1aff,#00000000,#6f6b5f29,#686868ff,#00000000,#00000000,#00000000,#00000000,#00000000
-5,#1b1b1bff,#00000000,#726e612e,#757575ff,#00000000,#00000000,#00000000,#00000000,#00000000
-4,#1c1c1cff,#00000000,#75706234,#5d6f5dff,#00000000,#00000000,#00000000,#00000000,#00000000
-3,#1d1d1dff,#00000000,#78736439,#466a46ff,#00000000,#00000000,#00000000,#00000000,#00000000
-2,#1e1e1eff,#00000000,#7c75653e,#2e642eff,#00000000,#00000000,#00000000,#00000000,#00000000
-1,#1f1f1fff,#00000000,#7f786744,#175f17ff,#00000000,#00000000,#00000000,#00000000,#00000000
0,#202020ff,#00000000,#827b6949,#005a00ff,#00000000,#00000000,#04e9e7ff,#00000000,#005eb600
1,#212121ff,#00000000,#857d6a4e,#006100ff,#00000000,#00000000,#03eae7ff,#00000000,#005eb607
2,#222222ff,#00000000,#88806c54,#006800ff,#00000000,#00000000,#02ebe7ff,#00000000,#005eb60f
3,#232323ff,#00000000,#8b826d59,#006f00ff,#00000000,#00000000,#01ece7ff,#00000000,#005eb616
4,#242424ff,#00000000,#8e856f5e,#007600ff,#00000000,#00000000,#00ede7ff,#00000000,#005eb61e
5,#252525ff,#00000000,#92887164,#007e00ff,#63eb63ff,#00000000,#00efe7ff,#00000000,#005eb626
6,#262626ff,#00000000,#9e93756e,#017e2bff,#63eb63ff,#00000000,#00deeaff,#00000000,#005eb62d
7,#272727ff,#00000000,#aa9e7978,#037e57ff,#63eb63ff,#00000000,#00cdedff,#00000000,#005eb635
8,#282828ff,#00000000,#b6a97e82,#047e83ff,#63eb63ff,#00000000,#00bdf0ff,#00000000,#005eb63d
9,#292929ff,#00000000,#c2b4828c,#067eafff,#63eb63ff,#3ffefcff,#00acf3ff,#00000000,#005eb644
10,#2a2a2aff,#dfdfdfff,#cec08796,#087fdbff,#63eb63ff,#3af1fdff,#009cf7ff,#009f9fff,#005eb64c
11,#2b2b2bff,#d1e1cfff,#d2c48ba0,#0c73ddff,#5be35bff,#36e2fcff,#007cf7ff,#009b8eff,#005eb654
12,#2c2c2cff,#c3e3bfff,#d6c88faa,#1068e0ff,#53dc53ff,#31d2fcff,#005df7ff,#00977dff,#005eb65b
13,#2d2d2dff,#b6e5afff,#dacc93b4,#145de2ff,#4cd44cff,#2cc1fbff,#003ef7ff,#00936cff,#005eb663
14,#2e2e2eff,#a8e79fff,#ded097be,#1852e5ff,#44cd44ff,#28b0faff,#001ff7ff,#008f5bff,#005eb66b
15,#2f2f2fff,#9bea8fff,#88ddeeff,#1c47e8ff,#3dc63dff,#239ff9ff,#0000f7ff,#008c4bff,#005eb672
16,#303030ff,#8dee7fff,#6cd1ebff,#2c3be1ff,#37be3bff,#1f8df9ff,#0033c5ff,#009a41ff,#005eb67a
17,#313131ff,#80f270ff,#51c5e8ff,#3c2fdaff,#31b639ff,#1a7af8ff,#006694ff,#00a837ff,#005eb682
18,#323232ff,#72f660ff,#36bae5ff,#4d24d3ff,#2bae37ff,#1667f7ff,#009962ff,#00b62dff,#005eb689
